Filename	Dim1	Dim2	Dim3	Dim4	Dim5	Dim6	TextType
Science_Tech_Kinds_NZ_10386558_bangladesh.txt	-12.5386	-3.5298	6.6545	-7.2187	1.5489	-2.9969	Learned exposition
Encyclopedia_Kinds_au_10088229_Turin_Shroud.txt	-15.0731	-0.5896	0.2017	-0.2370	1.5652	1.2114	General narrative exposition
WhyFiles_10063195_279superbattery.txt	-9.5910	-0.8892	3.6880	0.9255	2.0536	-0.7000	General narrative exposition
Dogo_News_file10059611_will-the-real-president-please-stand-up-venezuelas-political-crisis-explained.txt	-16.5127	1.4878	0.9437	0.6838	5.3151	-0.8704	Scientific exposition
History_Kids_BBC_10401381_key_events_01s.txt	-12.2092	-0.9485	2.5489	-0.2093	2.0244	-1.4931	General narrative exposition
Encyclopedia_Kinds_au_10087947_Railroad.txt	-12.9462	-5.1465	3.5878	-1.4925	10.5640	-1.3219	Scientific exposition
Encyclopedia_Kinds_au_10087516_Rational_Unified_Process.txt	-16.3396	-3.1255	7.9549	0.3256	1.6074	-0.9061	Learned exposition
Quatr_us_10391936_bubonic-plague.txt	-10.8954	-0.3854	3.1039	-6.4878	-2.3575	-2.2924	General narrative exposition
Quatr_us_10393096_enlightenment.txt	-10.9815	-1.1644	5.9136	-1.7937	-0.3427	3.3857	General narrative exposition
Science_Tech_Kinds_NZ_10382234_biology.txt	-16.6935	-6.9358	11.1441	-7.8180	-2.3763	-0.3924	Learned exposition
History_kids_10381047_roman-military.txt	-22.7235	-0.0827	6.4498	-5.1883	4.3449	-2.4209	Learned exposition
WhyFiles_10063130_289invest_psych.txt	-12.6283	-1.0750	3.2891	1.9622	-1.2079	1.1977	General narrative exposition
Ducksters_10397942_the_stamp_actphp.txt	-8.4190	1.9571	5.8601	0.0357	0.1048	-0.1258	General narrative exposition
WhyFiles_10063244_246cancer_immuno.txt	-7.2736	-3.7551	2.4638	0.9829	3.5884	-0.9927	General narrative exposition
WhyFiles_10062863.txt	-10.1935	-0.4570	5.7979	-4.0954	4.5234	0.0589	Scientific exposition
Factmonster_10053412_december-17.txt	-20.1223	-1.7016	6.1496	-6.7160	-0.5580	-3.4950	Learned exposition
