"lemma"	"semantic_domain_Biber"	"semantic_domain_Edwards"	"Edwards"	"agreement"
"135"	"face"	"mental"	"existence_relationship"	"Edwards"	FALSE
"136"	"face"	"mental"	"mental"	"Edwards"	TRUE
"137"	"fall"	"occurrence"	"activity"	"Edwards"	FALSE
"138"	"fear"	"mental"	"mental"	"Edwards"	TRUE
"139"	"feel"	"mental"	"mental"	"Edwards"	TRUE
"140"	"find"	"mental"	"mental"	"Edwards"	TRUE
"141"	"find"	"mental"	"activity"	"Edwards"	FALSE
"142"	"finish"	"aspectual"	"aspectual"	"Edwards"	TRUE
"143"	"fit"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"144"	"fix"	"activity"	"activity"	"Edwards"	TRUE
"145"	"flow"	"occurrence"	"occurrence"	"Edwards"	TRUE
"146"	"follow"	"activity"	"mental"	"Edwards"	FALSE
"147"	"follow"	"activity"	"activity"	"Edwards"	TRUE
"148"	"force"	"facilitation_causation"	"facilitation_causation"	"Edwards"	TRUE
"149"	"forget"	"mental"	"mental"	"Edwards"	TRUE
"150"	"forgive"	"mental"	"mental"	"Edwards"	TRUE
"151"	"form"	"activity"	"activity"	"Edwards"	TRUE
"152"	"get"	"activity"	"activity"	"Edwards"	TRUE
"153"	"get"	"activity"	"facilitation_causation"	"Edwards"	FALSE
"154"	"get back"	"activity"	NA	NA	NA
"155"	"get in"	"activity"	"activity"	"Edwards"	TRUE
"156"	"get off"	"activity"	"activity"	"Edwards"	TRUE
"157"	"get out"	"activity"	"activity"	"Edwards"	TRUE
"158"	"get up"	"activity"	NA	NA	NA
"159"	"give"	"activity"	"mental"	"Edwards"	FALSE
"160"	"give"	"activity"	"activity"	"Edwards"	TRUE
"161"	"give up"	"activity"	"mental"	"Edwards"	FALSE
"162"	"go"	"activity"	"activity"	"Edwards"	TRUE
"163"	"go ahead"	"activity"	NA	NA	NA
"164"	"go off"	"activity"	NA	NA	NA
"165"	"grow"	"occurrence"	"activity"	"Edwards"	FALSE
"166"	"grow"	"occurrence"	"occurrence"	"Edwards"	TRUE
"167"	"guarantee"	"facilitation_causation"	"facilitation_causation"	"Edwards"	TRUE
"168"	"guess"	"mental"	"mental"	"Edwards"	TRUE
"169"	"hang"	"activity"	"activity"	"Edwards"	TRUE
"170"	"hang on"	"activity"	NA	NA	NA
"171"	"happen"	"occurrence"	"occurrence"	"Edwards"	TRUE
"172"	"hate"	"mental"	"mental"	"Edwards"	TRUE
"173"	"hear"	"mental"	"mental"	"Edwards"	TRUE
"174"	"help"	"facilitation_causation"	"activity"	"Edwards"	FALSE
"175"	"help"	"facilitation_causation"	"facilitation_causation"	"Edwards"	TRUE
"176"	"hold"	"activity"	"activity"	"Edwards"	TRUE
"177"	"hold"	"activity"	"existence_relationship"	"Edwards"	FALSE
"178"	"hope"	"mental"	"mental"	"Edwards"	TRUE
"179"	"identify"	"mental"	"mental"	"Edwards"	TRUE
"180"	"ignore"	"mental"	"mental"	"Edwards"	TRUE
