"Lemma" "Corpus" "Semantic domain"
"448" "change" "Textbook Conversation" "occurrence"
"449" "change" "Textbook Conversation" "occurrence"
"450" "change" "Youth Fiction Sampled" "occurrence"
"451" "change" "Youth Fiction Sampled" "occurrence"
"452" "change" "Textbook Conversation" "occurrence"
"453" "change" "Youth Fiction Sampled" "occurrence"
"454" "change" "Textbook Conversation" "occurrence"
"455" "change" "Textbook Fiction" "occurrence"
"456" "change" "Textbook Fiction" "occurrence"
"457" "change" "Textbook Fiction" "occurrence"
"458" "change" "Textbook Conversation" "occurrence"
"459" "change" "Textbook Conversation" "occurrence"
"460" "change" "Textbook Conversation" "occurrence"
"461" "charge" "Spoken BNC 2014" "activity"
"462" "charge" "Spoken BNC 2014" "activity"
"463" "charge" "Spoken BNC 2014" "activity"
"464" "chase" "Textbook Conversation" "activity"
"465" "chase" "Youth Fiction Sampled" "activity"
"466" "chase" "Youth Fiction Sampled" "activity"
"467" "chase" "Textbook Fiction" "activity"
"468" "chase" "Textbook Conversation" "activity"
"469" "chase" "Youth Fiction Sampled" "activity"
"470" "chase" "Youth Fiction Sampled" "activity"
"471" "chase" "Textbook Fiction" "activity"
"472" "chase" "Textbook Conversation" "activity"
"473" "chase" "Youth Fiction Sampled" "activity"
"474" "chat" "Textbook Conversation" "communication"
"475" "chat" "Spoken BNC 2014" "communication"
"476" "chat" "Textbook Fiction" "communication"
"477" "chat" "Textbook Fiction" "communication"
"478" "chat" "Spoken BNC 2014" "communication"
"479" "chat" "Textbook Conversation" "communication"
"480" "chat" "Youth Fiction Sampled" "communication"
"481" "chat" "Textbook Conversation" "communication"
"482" "chat" "Textbook Conversation" "communication"
"483" "cheat" "Spoken BNC 2014" "activity"
"484" "cheat" "Textbook Fiction" "activity"
"485" "check" "Textbook Fiction" "activity"
"486" "check" "Textbook Conversation" "activity"
"487" "check" "Spoken BNC 2014" "activity"
"488" "check" "Textbook Conversation" "activity"
"489" "check" "Spoken BNC 2014" "activity"
"490" "check" "Spoken BNC 2014" "activity"
"491" "check" "Youth Fiction Sampled" "activity"
"492" "check" "Youth Fiction Sampled" "activity"
"493" "check" "Youth Fiction Sampled" "activity"
"494" "cheer" "Textbook Conversation" "communication"
"495" "cheer" "Textbook Conversation" "communication"
"496" "cheer" "Textbook Fiction" "communication"
