words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
repeat,1,22,0.98,22.02,X.TxB_prog_count.,0,0,0
reply,0,4,0.17,3.83,X.TxBSpoken_non_prog.,0,-0.04,0.35
report,4,6,0.43,9.57,X.TxB_prog_count.,0,0.36,12.33
research,0,1,0.04,0.96,X.TxBSpoken_non_prog.,0,-0.04,0.09
retire,0,4,0.17,3.83,X.TxBSpoken_non_prog.,0,-0.04,0.35
return,2,19,0.89,20.11,X.TxB_prog_count.,0,0.05,1.07
revise,4,9,0.55,12.45,X.TxB_prog_count.,0,0.27,10
ride,1,33,1.45,32.55,X.TxBSpoken_non_prog.,0,-0.01,0.16
ring,3,14,0.72,16.28,X.TxB_prog_count.,0,0.13,4.32
rip,0,1,0.04,0.96,X.TxBSpoken_non_prog.,0,-0.04,0.09
rise,0,4,0.17,3.83,X.TxBSpoken_non_prog.,0,-0.04,0.35
rob,1,2,0.13,2.87,X.TxB_prog_count.,0,0.29,2.67
roll,1,6,0.3,6.7,X.TxB_prog_count.,0,0.1,1.1
ruin,3,7,0.43,9.57,X.TxB_prog_count.,0,0.26,7.34
run,22,118,5.95,134.05,X.TxB_prog_count.,0.01,0.11,27.55
save,1,48,2.08,46.92,X.TxBSpoken_non_prog.,0,-0.02,0.72
say,29,788,34.73,782.27,X.TxBSpoken_non_prog.,0,-0.01,1.06
scan,1,0,0.04,0.96,X.TxB_prog_count.,0,0.96,6.32
search,2,2,0.17,3.83,X.TxB_prog_count.,0,0.46,7.26
see,8,1350,57.72,1300.28,X.TxBSpoken_non_prog.,-0.02,-0.04,70.78
seek,1,1,0.09,1.91,X.TxB_prog_count.,0,0.46,3.63
sell,3,55,2.47,55.53,X.TxB_prog_count.,0,0.01,0.11
send,4,93,4.12,92.88,X.TxBSpoken_non_prog.,0,0,0
serve,0,12,0.51,11.49,X.TxBSpoken_non_prog.,0,-0.04,1.04
set,1,38,1.66,37.34,X.TxBSpoken_non_prog.,0,-0.02,0.32
settle,0,12,0.51,11.49,X.TxBSpoken_non_prog.,0,-0.04,1.04
shake,1,5,0.26,5.74,X.TxB_prog_count.,0,0.12,1.34
share,1,33,1.45,32.55,X.TxBSpoken_non_prog.,0,-0.01,0.16
shine,2,8,0.43,9.57,X.TxB_prog_count.,0,0.16,3.32
shoot,0,13,0.55,12.45,X.TxBSpoken_non_prog.,0,-0.04,1.13
shop,2,5,0.3,6.7,X.TxB_prog_count.,0,0.24,4.69
shout,2,22,1.02,22.98,X.TxB_prog_count.,0,0.04,0.78
show,4,181,7.86,177.14,X.TxBSpoken_non_prog.,0,-0.02,2.41
shrug,1,0,0.04,0.96,X.TxB_prog_count.,0,0.96,6.32
shut,0,9,0.38,8.62,X.TxBSpoken_non_prog.,0,-0.04,0.78
sign,0,20,0.85,19.15,X.TxBSpoken_non_prog.,0,-0.04,1.74
sing,4,49,2.25,50.75,X.TxB_prog_count.,0,0.03,1.16
sit,22,130,6.46,145.54,X.TxB_prog_count.,0.01,0.1,24.66
slam,2,1,0.13,2.87,X.TxB_prog_count.,0,0.62,8.9
sleep,14,59,3.1,69.9,X.TxB_prog_count.,0,0.15,22.24
slow,1,5,0.26,5.74,X.TxB_prog_count.,0,0.12,1.34
smell,0,19,0.81,18.19,X.TxBSpoken_non_prog.,0,-0.04,1.65
smile,11,21,1.36,30.64,X.TxB_prog_count.,0,0.3,30.16
smoke,1,5,0.26,5.74,X.TxB_prog_count.,0,0.12,1.34
sniff,0,2,0.09,1.91,X.TxBSpoken_non_prog.,0,-0.04,0.17
snow,5,1,0.26,5.74,X.TxB_prog_count.,0,0.79,26.27
sort,0,6,0.26,5.74,X.TxBSpoken_non_prog.,0,-0.04,0.52
sound,1,177,7.57,170.43,X.TxBSpoken_non_prog.,0,-0.04,9.35
speak,7,189,8.33,187.67,X.TxBSpoken_non_prog.,0,-0.01,0.24
spell,0,26,1.11,24.89,X.TxBSpoken_non_prog.,0,-0.04,2.26
spend,3,138,5.99,135.01,X.TxBSpoken_non_prog.,0,-0.02,1.9
split,2,6,0.34,7.66,X.TxB_prog_count.,0,0.21,4.16
sponsor,1,0,0.04,0.96,X.TxB_prog_count.,0,0.96,6.32
spot,0,4,0.17,3.83,X.TxBSpoken_non_prog.,0,-0.04,0.35
spread,1,12,0.55,12.45,X.TxB_prog_count.,0,0.03,0.31
spring,1,0,0.04,0.96,X.TxB_prog_count.,0,0.96,6.32
squander,1,0,0.04,0.96,X.TxB_prog_count.,0,0.96,6.32
stand,20,67,3.7,83.3,X.TxB_prog_count.,0.01,0.19,38.45
stare,3,1,0.17,3.83,X.TxB_prog_count.,0,0.71,14.54
start,14,379,16.7,376.3,X.TxBSpoken_non_prog.,0,-0.01,0.49
starve,3,1,0.17,3.83,X.TxB_prog_count.,0,0.71,14.54
stay,25,161,7.91,178.09,X.TxB_prog_count.,0.01,0.09,25.2
steal,2,21,0.98,22.02,X.TxB_prog_count.,0,0.04,0.87
stick,0,9,0.38,8.62,X.TxBSpoken_non_prog.,0,-0.04,0.78
stop,3,193,8.33,187.67,X.TxBSpoken_non_prog.,0,-0.03,4.7
stress,1,4,0.21,4.79,X.TxB_prog_count.,0,0.16,1.66
stretch,0,3,0.13,2.87,X.TxBSpoken_non_prog.,0,-0.04,0.26
strip,0,1,0.04,0.96,X.TxBSpoken_non_prog.,0,-0.04,0.09
stroll,1,1,0.09,1.91,X.TxB_prog_count.,0,0.46,3.63
struggle,1,8,0.38,8.62,X.TxB_prog_count.,0,0.07,0.73
study,18,56,3.15,70.85,X.TxB_prog_count.,0.01,0.2,36.55
suffer,4,6,0.43,9.57,X.TxB_prog_count.,0,0.36,12.33
suggest,1,13,0.6,13.4,X.TxB_prog_count.,0,0.03,0.24
support,1,13,0.6,13.4,X.TxB_prog_count.,0,0.03,0.24
surf,4,15,0.81,18.19,X.TxB_prog_count.,0,0.17,7.02
swim,9,45,2.3,51.7,X.TxB_prog_count.,0,0.12,12.11
take,37,571,25.84,582.16,X.TxB_prog_count.,0,0.02,4.51
talk,88,205,12.45,280.55,X.TxB_prog_count.,0.03,0.26,218.01
taste,0,19,0.81,18.19,X.TxBSpoken_non_prog.,0,-0.04,1.65
teach,6,49,2.34,52.66,X.TxB_prog_count.,0,0.07,4.25
