"Lemma"	"Corpus"
"291"	"get"	"Youth Fiction Sampled"
"292"	"hide"	"Youth Fiction Sampled"
"293"	"look"	"Youth Fiction Sampled"
"294"	"become"	"Youth Fiction Sampled"
"295"	"begin"	"Youth Fiction Sampled"
"296"	"sit up"	"Youth Fiction Sampled"
"297"	"hide"	"Youth Fiction Sampled"
"298"	"rain"	"Youth Fiction Sampled"
"299"	"drink"	"Youth Fiction Sampled"
"300"	"wonder"	"Youth Fiction Sampled"
"301"	"starve"	"Youth Fiction Sampled"
"302"	"use"	"Youth Fiction Sampled"
"303"	"come back"	"Youth Fiction Sampled"
"304"	"work on"	"Youth Fiction Sampled"
"305"	"test"	"Youth Fiction Sampled"
"306"	"move"	"Youth Fiction Sampled"
"307"	"drive"	"Youth Fiction Sampled"
"308"	"need"	"Youth Fiction Sampled"
"309"	"negotiate"	"Youth Fiction Sampled"
"310"	"look"	"Youth Fiction Sampled"
"311"	"do"	"Youth Fiction Sampled"
"312"	"stumble"	"Youth Fiction Sampled"
"313"	"evaporate"	"Youth Fiction Sampled"
"314"	"groan"	"Youth Fiction Sampled"
"315"	"lean"	"Youth Fiction Sampled"
"316"	"seep"	"Youth Fiction Sampled"
"317"	"begin"	"Youth Fiction Sampled"
"318"	"enjoy"	"Youth Fiction Sampled"
"319"	"limp"	"Youth Fiction Sampled"
"320"	"gasp"	"Youth Fiction Sampled"
"321"	"talk"	"Youth Fiction Sampled"
"322"	"chase"	"Youth Fiction Sampled"
"323"	"talk to"	"Youth Fiction Sampled"
"324"	"use"	"Youth Fiction Sampled"
"325"	"await"	"Youth Fiction Sampled"
"326"	"dream"	"Youth Fiction Sampled"
"327"	"rise"	"Youth Fiction Sampled"
"328"	"preen"	"Youth Fiction Sampled"
"329"	"abandon"	"Youth Fiction Sampled"
"330"	"flood out"	"Youth Fiction Sampled"
"331"	"swing"	"Youth Fiction Sampled"
"332"	"look at"	"Youth Fiction Sampled"
"333"	"march"	"Youth Fiction Sampled"
"334"	"nod"	"Youth Fiction Sampled"
"335"	"twitch"	"Youth Fiction Sampled"
"336"	"listen"	"Youth Fiction Sampled"
"337"	"sit"	"Youth Fiction Sampled"
"338"	"swell"	"Youth Fiction Sampled"
"339"	"sprint"	"Youth Fiction Sampled"
"340"	"murder"	"Youth Fiction Sampled"
"341"	"take"	"Youth Fiction Sampled"
"342"	"say"	"Youth Fiction Sampled"
"343"	"wait"	"Youth Fiction Sampled"
"344"	"go over"	"Youth Fiction Sampled"
"345"	"establish"	"Youth Fiction Sampled"
"346"	"come"	"Youth Fiction Sampled"
"347"	"bother"	"Youth Fiction Sampled"
"348"	"go on"	"Youth Fiction Sampled"
"349"	"have"	"Youth Fiction Sampled"
"350"	"stand"	"Youth Fiction Sampled"
"351"	"miss"	"Youth Fiction Sampled"
"352"	"call"	"Youth Fiction Sampled"
"353"	"say"	"Youth Fiction Sampled"
"354"	"cut"	"Youth Fiction Sampled"
"355"	"scream"	"Youth Fiction Sampled"
"356"	"go"	"Youth Fiction Sampled"
"357"	"talk"	"Youth Fiction Sampled"
"358"	"chase"	"Youth Fiction Sampled"
"359"	"talk"	"Youth Fiction Sampled"
"360"	"force"	"Youth Fiction Sampled"
"361"	"come"	"Youth Fiction Sampled"
"362"	"go"	"Youth Fiction Sampled"
"363"	"live"	"Youth Fiction Sampled"
"364"	"get"	"Youth Fiction Sampled"
"365"	"go"	"Youth Fiction Sampled"
"366"	"go"	"Youth Fiction Sampled"
"367"	"try"	"Youth Fiction Sampled"
"368"	"do"	"Youth Fiction Sampled"
"369"	"take"	"Youth Fiction Sampled"
"370"	"die"	"Youth Fiction Sampled"
"371"	"deal with"	"Youth Fiction Sampled"
"372"	"shift"	"Youth Fiction Sampled"
"373"	"except"	"Youth Fiction Sampled"
"374"	"spy"	"Youth Fiction Sampled"
"375"	"go"	"Youth Fiction Sampled"
"376"	"call in"	"Youth Fiction Sampled"
"377"	"browse"	"Youth Fiction Sampled"
"378"	"advance"	"Youth Fiction Sampled"
"379"	"snub"	"Youth Fiction Sampled"
"380"	"work"	"Youth Fiction Sampled"
"381"	"go on"	"Youth Fiction Sampled"
"382"	"go"	"Youth Fiction Sampled"
"383"	"worry"	"Youth Fiction Sampled"
"384"	"happen"	"Youth Fiction Sampled"
"385"	"fool around"	"Youth Fiction Sampled"
"386"	"nibble"	"Youth Fiction Sampled"
"387"	"drive"	"Youth Fiction Sampled"
"388"	"come back"	"Youth Fiction Sampled"
"389"	"turn"	"Youth Fiction Sampled"
"390"	"steal"	"Youth Fiction Sampled"
"391"	"say"	"Youth Fiction Sampled"
"392"	"shake"	"Youth Fiction Sampled"
"393"	"groan"	"Youth Fiction Sampled"
"394"	"look over"	"Youth Fiction Sampled"
"395"	"sink"	"Youth Fiction Sampled"
"396"	"wait"	"Youth Fiction Sampled"
"397"	"come"	"Youth Fiction Sampled"
"398"	"cower"	"Youth Fiction Sampled"
"399"	"leave"	"Youth Fiction Sampled"
"400"	"stare at"	"Youth Fiction Sampled"
"401"	"wait"	"Youth Fiction Sampled"
"402"	"swarm"	"Youth Fiction Sampled"
"403"	"say"	"Youth Fiction Sampled"
"404"	"dream"	"Youth Fiction Sampled"
