"lemma"	"TxB_Nar_prog_count"	"TxB_Nar_non_prog"
"453"	"struggle"	2	10
"454"	"strut"	1	1
"455"	"study"	2	12
"457"	"suck"	0	6
"458"	"suffer"	4	1
"459"	"suggest"	0	20
"461"	"surf"	2	0
"462"	"surround"	1	7
"463"	"swarm"	1	0
"465"	"sweep"	0	3
"467"	"swim"	2	14
"468"	"swing"	0	5
"469"	"take"	9	455
"470"	"talk"	50	120
"472"	"teach"	1	22
"473"	"tear"	0	11
"475"	"telephone"	0	1
"476"	"televise"	1	0
"477"	"tell"	20	394
"479"	"test"	0	4
"480"	"think"	26	454
"481"	"threaten"	0	2
"483"	"throw"	0	65
"484"	"thud"	1	1
"486"	"touch"	0	47
"487"	"track"	0	1
"488"	"train"	1	7
"489"	"tramp"	1	1
"490"	"travel"	4	32
"492"	"treat"	1	4
"493"	"tremble"	1	2
"495"	"try"	34	193
"496"	"turn"	5	197
"497"	"twitch"	0	1
"499"	"use"	3	92
"500"	"vanish"	0	2
"501"	"visit"	8	25
"502"	"wade"	2	0
"503"	"wag"	2	8
"504"	"wail"	1	1
"505"	"wait"	41	130
"506"	"wake"	0	46
"507"	"walk"	43	243
"508"	"wander"	1	4
"509"	"want"	1	588
"511"	"wash"	2	14
"512"	"waste"	0	1
"513"	"watch"	13	122
"514"	"wave"	5	25
"516"	"wear"	37	49
"518"	"weigh"	0	2
"520"	"whine"	0	5
"521"	"whip"	0	2
"522"	"whirl"	0	2
"523"	"whisper"	5	45
"524"	"whistle"	0	3
"525"	"wind"	0	4
"527"	"wonder"	7	37
"528"	"work"	21	100
"529"	"worry"	1	47
"530"	"wrap"	1	11
"532"	"write"	9	85
"533"	"yell"	0	4
