lemma	semantic_domain
mix	activity
moan	communication
mock	communication
monitor	activity
monopolize	activity
mount up	occurrence
mouth	communication
move	activity
move in	activity
munch	activity
murder	activity
murmur	communication
mutter	communication
name	communication
near	occurrence
need	mental
negotiate	communication
nest	activity
nibble	activity
nod	communication
nod off	activity
note	communication
notice	mental
nourish	activity
object	communication
oblige	facilitation_causation
observe	mental
obtain	activity
occur	occurrence
offer	communication
ooze	occurrence
open	activity
operate	existence_relationship
opt	mental
order	existence_relationship
organise	activity
organize	activity
overchange	unclear_other
overflow	occurrence
overlap	existence_relationship
overreact	mental
overthink	mental
owe	existence_relationship
own	existence_relationship
pack	activity
paint	activity
panic	mental
park	activity
participate	activity
party	activity
pass	unclear_other
pass through	existence_relationship
pay	activity
pay attention	mental
pay for	activity
pay sb attention	mental
pedal	activity
peep in	activity
perceive	mental
perform	activity
permit	facilitation_causation
persevere	mental
persuade	communication
pester	activity
phone	communication
pick	activity
pick up	activity
pile up	activity
pinch	activity
piss	activity
pitch	activity
placate	communication
place	activity
plan	mental
plan on	mental
plant	activity
play	activity
play out	occurrence
playact	activity
plead	communication
plow on	aspectual
pluck	activity
plug away	activity
point	communication
pollute	activity
ponder	mental
pop	occurrence
pop out	activity
pop over	activity
pop up	occurrence
pose	unclear_other
possess	existence_relationship
post	activity
pound	activity
pour	activity
pour down	activity
practice	activity
practise	activity
pray	mental
predict	mental
preen	activity
prefer	mental
prepare	activity
present	activity
press	activity
presume	mental
pretend	mental
prevent	facilitation_causation
print	activity
proclaim	communication
produce	activity
progress	occurrence
promise	communication
prompt	facilitation_causation
propose	communication
protect	activity
protest	activity
prove	communication
provide	activity
provoke	facilitation_causation
prowl	activity
publish	communication
pull	activity
pulse	occurrence
pump	activity
punch	activity
puncture	occurrence
purse	activity
push	unclear_other
push against	unclear_other
push for	activity
push out	unclear_other
push through	unclear_other
put	unclear_other
put about	unclear_other
put at ease	activity
put in	activity
put into	activity
put off	mental
put on	activity
put out	activity
put together	activity
put up	mental
question	communication
queue	activity
queue up	activity
quit	activity
quiver	activity
quote	communication
race	activity
rain	occurrence
raise	unclear_other
rake in	activity
rap	activity
rasp	activity
reach	activity
reach up	activity
react	activity
read	mental
read out	activity
realise	mental
realize	mental
reappear	occurrence
recall	mental
receive	activity
recharge	occurrence
reckon	mental
recognise	mental
recognize	mental
recollect	mental
recommend	communication
record	activity
recover	mental
recycle	activity
reduce	activity
reel	unclear_other
refer	communication
refer to	existence_relationship
reflect	existence_relationship
refuse	communication
regard	mental
register	mental
regress	occurrence
regret	mental
rehearse	activity
relate	existence_relationship
relax	activity
release	occurrence
rely	existence_relationship
rely on	existence_relationship
remain	existence_relationship
remark	communication
remember	mental
remind	mental
render	facilitation_causation
renovate	activity
rent	activity
