words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
climb,1,4.751345452,0.34,5.41,X.BNC_prog_count.,0,0.12,0.93
close,3,18.13806186,1.24,19.9,X.BNC_prog_count.,0,0.08,1.94
collect,1,12.10858606,0.77,12.34,X.BNC_prog_count.,0,0.02,0.07
come,102,695.3829658,46.82,750.57,X.BNC_prog_count.,0.02,0.07,53.64
comment,1,2.211790317,0.19,3.02,X.BNC_prog_count.,0,0.25,1.95
commit,0,3.137097519,0.18,2.95,X.BNC_non_prog.,0,-0.06,0.38
communicate,0,3.174443918,0.19,2.99,X.BNC_non_prog.,0,-0.06,0.38
compete,1,1.054051947,0.12,1.93,X.BNC_prog_count.,0,0.43,2.95
complain,2,10.88450767,0.76,12.13,X.BNC_prog_count.,0,0.1,1.53
compose,1,0,0.06,0.94,X.BNC_prog_count.,0,0.94,5.67
concentrate,5,0,0.29,4.71,X.BNC_prog_count.,0,0.94,28.36
confuse,1,3.406875086,0.26,4.15,X.BNC_prog_count.,0,0.17,1.36
consider,5,14.2333955,1.13,18.1,X.BNC_prog_count.,0,0.2,8.04
consume,0,1.307123966,0.08,1.23,X.BNC_non_prog.,0,-0.06,0.16
continue,2,6.627018178,0.51,8.12,X.BNC_prog_count.,0,0.17,2.8
control,1,5.012770245,0.35,5.66,X.BNC_prog_count.,0,0.11,0.87
cook,10,35.45056763,2.67,42.78,X.BNC_prog_count.,0,0.16,13.11
cope,1,5.909083822,0.41,6.5,X.BNC_prog_count.,0,0.09,0.67
copy,1,4.377881461,0.32,5.06,X.BNC_prog_count.,0,0.13,1.03
cost,2,32.9188831,2.05,32.87,X.BNC_non_prog.,0,0,0
cough,1,1.427515937,0.14,2.28,X.BNC_prog_count.,0,0.35,2.55
count,1,16.81423234,1.05,16.77,X.BNC_non_prog.,0,0,0
crack,1,5.535619832,0.38,6.15,X.BNC_prog_count.,0,0.09,0.75
crash,2,0,0.12,1.88,X.BNC_prog_count.,0,0.94,11.34
create,1,13.86386682,0.87,13.99,X.BNC_prog_count.,0,0.01,0.02
criticise,1,0.94201275,0.11,1.83,X.BNC_prog_count.,0,0.46,3.09
cross,1,10.6147301,0.68,10.93,X.BNC_prog_count.,0,0.03,0.14
crumble,1,0.083045572,0.06,1.02,X.BNC_prog_count.,0,0.86,5.09
cry,8,9.814232341,1.05,16.77,X.BNC_prog_count.,0,0.39,22.05
cut,5,46.98618746,3.05,48.93,X.BNC_prog_count.,0,0.04,1.12
cycle,1,6.021123019,0.41,6.61,X.BNC_prog_count.,0,0.08,0.65
dance,0,7.170508615,0.42,6.75,X.BNC_non_prog.,0,-0.06,0.87
date,3,1.033411096,0.24,3.8,X.BNC_prog_count.,0,0.69,12.55
deal,5,11.46976198,0.97,15.5,X.BNC_prog_count.,0,0.24,9.52
decide,1,47.58766515,2.85,45.73,X.BNC_non_prog.,0,-0.04,1.68
decline,1,0,0.06,0.94,X.BNC_prog_count.,0,0.94,5.67
decorate,0,2.838326327,0.17,2.67,X.BNC_non_prog.,0,-0.06,0.34
delete,1,6.992129394,0.47,7.52,X.BNC_prog_count.,0,0.07,0.49
deliver,1,8.934142144,0.58,9.35,X.BNC_prog_count.,0,0.04,0.26
describe,2,7.224560562,0.54,8.68,X.BNC_prog_count.,0,0.16,2.57
desert,0,0.37346399,0.02,0.35,X.BNC_non_prog.,0,-0.06,0.05
design,1,5.348887836,0.37,5.98,X.BNC_prog_count.,0,0.1,0.79
develop,3,7.158220538,0.6,9.56,X.BNC_prog_count.,0,0.24,5.55
die,8,63.85447175,4.22,67.64,X.BNC_prog_count.,0,0.05,2.9
dig,2,6.328246985,0.49,7.84,X.BNC_prog_count.,0,0.18,2.93
disappear,1,7.477632581,0.5,7.98,X.BNC_prog_count.,0,0.06,0.42
discover,0,6.236848639,0.37,5.87,X.BNC_non_prog.,0,-0.06,0.75
discuss,1,9.643723726,0.62,10.02,X.BNC_prog_count.,0,0.04,0.2
disobey,0,0.074692798,0,0.07,X.BNC_non_prog.,0,-0.06,0.01
disturb,1,0.867319952,0.11,1.76,X.BNC_prog_count.,0,0.48,3.2
diversify,0,0,0,0,no_preference,0,NA,0
do,333,2766.415002,181.97,2917.44,X.BNC_prog_count.,0.05,0.05,116.13
download,0,7.693358202,0.45,7.24,X.BNC_non_prog.,0,-0.06,0.93
draw,1,18.64420589,1.15,18.49,X.BNC_non_prog.,0,-0.01,0.02
dread,0,1.94201275,0.11,1.83,X.BNC_non_prog.,0,-0.06,0.24
dream,0,3.025058322,0.18,2.85,X.BNC_non_prog.,0,-0.06,0.37
