words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
drip,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
engage,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
exist,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
fish,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
flick,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
growl,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
hum,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
hunt,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
point,2,54,2.69,53.31,X.TxB_Nar_non_prog.,0,-0.01,-0.2
present,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
punch,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
recall,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
respond,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
review,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
seep,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
sniff,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
snore,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
snow,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
squint,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
threaten,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
vanish,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
weigh,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
whip,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
