Register,Level,Series,Meaning,Collocate,Collocate_lemma,speech
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
BNC_Spoken,,,,sense,sense,0
narrative,B,Hi there,delexical,sense,sense,0
narrative,E,Achievers,delexical,sense,sense,0
TxB_spoken,,,,sense,sense,0
TxB_spoken,,,,sense,sense,0
TxB_spoken,,,,sense,sense,0
TxB_spoken,,,,sense,sense,0
TxB_spoken,,,,sense,sense,0
TxB_spoken,,,,sense,sense,0
TxB_spoken,,,,sense,sense,0
TxB_spoken,,,,sense,sense,0
TxB_spoken,,,,sense,sense,0
Youth_Fiction,,,,sense,sense,0
Youth_Fiction,,,,sense,sense,0
Youth_Fiction,,,,sense,sense,0
Youth_Fiction,,,,sense,sense,0
Youth_Fiction,,,,sense,sense,0
Youth_Fiction,,,,shamble,shamble,0
TxB_spoken,,,,sighting,sighting,0
TxB_spoken,,,,sightings,sighting,0
TxB_spoken,,,,sightings,sighting,0
Youth_Fiction,,,,sign,sign,0
BNC_Spoken,,,,signals,signal,1
Youth_Fiction,,,,silence,silence,1
Youth_Fiction,,,,small talk,small talk,1
BNC_Spoken,,,,sound,sound,0
narrative,A,Access,delexical,sound,sound,0
narrative,C,Green Line,delexical,sound,sound,0
narrative,D,Green Line,delexical,sound,sound,0
narrative,C,New Green Line,delexical,sound,sound,0
narrative,A,Green Line,delexical,sound,sound,0
TxB_spoken,,,,sound,sound,0
TxB_spoken,,,,sound,sound,0
TxB_spoken,,,,sound,sound,0
TxB_spoken,,,,sound,sound,0
TxB_spoken,,,,sound,sound,0
TxB_spoken,,,,sound,sound,0
Youth_Fiction,,,,sound,sound,0
Youth_Fiction,,,,sound,sound,0
Youth_Fiction,,,,sound,sound,0
narrative,A,Access,delexical,sounds,sound,0
TxB_spoken,,,,sounds,sound,0
TxB_spoken,,,,sounds,sound,0
Youth_Fiction,,,,sounds,sound,0
Youth_Fiction,,,,sounds,sound,0
Youth_Fiction,,,,sounds,sound,0
narrative,E,New Green Line,delexical,speech,speech,0
narrative,E,New Green Line,delexical,speech,speech,0
TxB_spoken,,,,speech,speech,0
Youth_Fiction,,,,speech,speech,1
Youth_Fiction,,,,start,start,0
Youth_Fiction,,,,start,start,0
narrative,C,Hi there,delexical,statement,statement,1
BNC_Spoken,,,,stay,stay,0
BNC_Spoken,,,,stereotypes,stereotype,0
TxB_spoken,,,,stop,stop,0
narrative,B,Achievers,delexical,suggestion,suggestion,1
TxB_spoken,,,,suggestion,suggestion,1
TxB_spoken,,,,suggestion,suggestion,1
Youth_Fiction,,,,sweep,sweep,0
Youth_Fiction,,,,swipe,swipe,0
TxB_spoken,,,,tone,tone,0
TxB_spoken,,,,transition,transition,0
Youth_Fiction,,,,trip,trip,0
narrative,E,Access,delexical,trouble,trouble,0
TxB_spoken,,,,trouble,trouble,0
Youth_Fiction,,,,trouble,trouble,0
Youth_Fiction,,,,trouble,trouble,0
BNC_Spoken,,,,use,use,0
BNC_Spoken,,,,use,use,0
Youth_Fiction,,,,use,use,0
Youth_Fiction,,,,visit,visit,0
narrative,E,New Green Line,delexical,walk,walk,0
TxB_spoken,,,,wish,wish,0
TxB_spoken,,,,wish,wish,0
Youth_Fiction,,,,wishes,wish,0
