Filename,Level
Access_4_Poetry_0003.txt,D
Access_4_Spoken_0001.txt,D
Access_4_Spoken_0002.txt,D
Access_4_Spoken_0003.txt,D
Access_4_Spoken_0004.txt,D
Access_4_Spoken_0005.txt,D
Access_4_Spoken_0006.txt,D
Access_4_Spoken_0007.txt,D
Access_4_Spoken_0008.txt,D
Access_4_Spoken_0009.txt,D
Access_4_Spoken_0010.txt,D
Access_4_Spoken_0011.txt,D
Access_4_Spoken_0012.txt,D
Access_4_Spoken_0013.txt,D
Access_4_Spoken_0014.txt,D
Access_4_Spoken_0015.txt,D
Access_4_Spoken_0016.txt,D
Access_4_Spoken_0017.txt,D
Access_4_Spoken_0018.txt,D
Access_4_Spoken_0019.txt,D
Access_4_Spoken_0020.txt,D
Access_4_Spoken_0021.txt,D
Access_4_Spoken_0022.txt,D
Access_5_Informative_0001.txt,E
Access_5_Informative_0002.txt,E
Access_5_Informative_0003.txt,E
Access_5_Informative_0004.txt,E
Access_5_Informative_0005.txt,E
Access_5_Informative_0006.txt,E
Access_5_Informative_0007.txt,E
Access_5_Informative_0008.txt,E
Access_5_Informative_0009.txt,E
Access_5_Informative_0010.txt,E
Access_5_Informative_0011.txt,E
Access_5_Instructional_0001.txt,E
Access_5_Instructional_0002.txt,E
Access_5_Instructional_0003.txt,E
Access_5_Instructional_0004.txt,E
Access_5_Instructional_0005.txt,E
Access_5_Instructional_0006.txt,E
Access_5_Instructional_0007.txt,E
Access_5_Instructional_0008.txt,E
Access_5_Instructional_0009.txt,E
Access_5_Instructional_0010.txt,E
Access_5_Instructional_0011.txt,E
Access_5_Instructional_0012.txt,E
Access_5_Instructional_0013.txt,E
Access_5_Instructional_0014.txt,E
Access_5_Narrative_0001.txt,E
Access_5_Narrative_0002.txt,E
Access_5_Narrative_0003.txt,E
Access_5_Narrative_0004.txt,E
Access_5_Narrative_0005.txt,E
Access_5_Narrative_0006.txt,E
Access_5_Narrative_0007.txt,E
Access_5_Narrative_0008.txt,E
Access_5_Narrative_0009.txt,E
Access_5_Personal_0001.txt,E
Access_5_Personal_0002.txt,E
Access_5_Personal_0003.txt,E
Access_5_Poetry_0001.txt,E
Access_5_Poetry_0002.txt,E
Access_5_Spoken_0001.txt,E
Access_5_Spoken_0002.txt,E
Access_5_Spoken_0003.txt,E
Access_5_Spoken_0004.txt,E
Access_5_Spoken_0005.txt,E
Access_5_Spoken_0006.txt,E
Access_5_Spoken_0007.txt,E
Access_5_Spoken_0008.txt,E
Access_5_Spoken_0010.txt,E
Access_5_Spoken_0011.txt,E
Achievers_A1_Informative_0001.txt,A
Achievers_A1_Informative_0002.txt,A
Achievers_A1_Informative_0003.txt,A
Achievers_A1_Informative_0004.txt,A
Achievers_A1_Informative_0005.txt,A
Achievers_A1_Informative_0006.txt,A
Achievers_A1_Instructional_0001.txt,A
Achievers_A1_Instructional_0002.txt,A
Achievers_A1_Instructional_0003.txt,A
Achievers_A1_Instructional_0004.txt,A
Achievers_A1_Instructional_0005.txt,A
Achievers_A1_Instructional_0006.txt,A
Achievers_A1_Instructional_0007.txt,A
Achievers_A1_Instructional_0008.txt,A
Achievers_A1_Instructional_0009.txt,A
Achievers_A1_Instructional_0010.txt,A
Achievers_A1_Instructional_0011.txt,A
Achievers_A1_Instructional_0012.txt,A
Achievers_A1_Instructional_0013.txt,A
Achievers_A1_Instructional_0014.txt,A
Achievers_A1_Instructional_0015.txt,A
Achievers_A1_Instructional_0016.txt,A
Achievers_A1_Instructional_0017.txt,A
Achievers_A1_Instructional_0018.txt,A
Achievers_A1_Instructional_0019.txt,A
Achievers_A1_Narrative_0001.txt,A
Achievers_A1_Narrative_0002.txt,A
Achievers_A1_Narrative_0003.txt,A
Achievers_A1_Narrative_00031.txt,A
Achievers_A1_Personal_0001.txt,A
Achievers_A1_Personal_0002.txt,A
Achievers_A1_Personal_0003.txt,A
Achievers_A1_Spoken_0001.txt,A
Achievers_A1_Spoken_0002.txt,A
Achievers_A1_Spoken_0003.txt,A
Achievers_A2_Informative_0001.txt,B
Achievers_A2_Informative_0002.txt,B
Achievers_A2_Informative_0003.txt,B
Achievers_A2_Informative_0004.txt,B
Achievers_A2_Informative_0005.txt,B
Achievers_A2_Informative_0006.txt,B
Achievers_A2_Informative_0007.txt,B
Achievers_A2_Informative_0008.txt,B
Achievers_A2_Informative_0009.txt,B
Achievers_A2_Instructional_0001.txt,B
Achievers_A2_Instructional_0002.txt,B
Achievers_A2_Instructional_0003.txt,B
Achievers_A2_Instructional_0004.txt,B
Achievers_A2_Instructional_0005.txt,B
Achievers_A2_Instructional_0006.txt,B
Achievers_A2_Instructional_0007.txt,B
Achievers_A2_Instructional_0008.txt,B
Achievers_A2_Instructional_0009.txt,B
Achievers_A2_Instructional_0010.txt,B
Achievers_A2_Instructional_0011.txt,B
Achievers_A2_Instructional_0012.txt,B
Achievers_A2_Instructional_0013.txt,B
Achievers_A2_Instructional_0014.txt,B
Achievers_A2_Instructional_0015.txt,B
Achievers_A2_Instructional_0016.txt,B
Achievers_A2_Instructional_0017.txt,B
Achievers_A2_Instructional_0018.txt,B
Achievers_A2_Instructional_0019.txt,B
Achievers_A2_Instructional_0020.txt,B
Achievers_A2_Instructional_0021.txt,B
Achievers_A2_Narrative_0001.txt,B
Achievers_A2_Narrative_0002.txt,B
